"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","location_type","parent_station","wheelchair_boarding","platform_code"
000000007560,"","Odinsvej (Egøjevej)",,"55.448125074497","12.178043365924",0,,0,""
000000007561,"","Gammel Hastrupvej (Egøjevej)",,"55.424314218259","12.181978187133",0,,0,""
000000007562,"","Egøje, Billesborgvej (Billesborgvej)",,"55.422809689571","12.184512834199",0,,0,""
000000007564,"","HF Stien (Carl Jacobsens Vej)",,"55.652974206316","12.523495812143",0,,0,""
000000007568,"","Sæddervej (Vordingborgvej)",,"55.393694313348","12.116300066277",0,,0,""
000000007569,"","Kanderødvej (Vordingborgvej)",,"55.380671602429","12.102342615896",0,,0,""
000000007574,"","Primulavej (Vordingborgvej)",,"55.445611282277","12.171672487540",0,,0,""
000000007577,"","Sørøgel (Lyngby Skov)",,"55.933161612436","12.090397475011",0,,0,""
000000007580,"","Skudehavnsvej (Sundkrogsgade)",,"55.716768283788","12.595444037062",0,,0,""
000000007581,"","Baltikavej (Færgehavnsvej)",,"55.716960231903","12.597484706315",0,,0,""
000000007582,"","Baltikavej (Sundkrogsgade)",,"55.716827580634","12.597408782063",0,,0,""
000000007583,"","Skudehavnsvej (Sundkrogsgade)",,"55.716852028244","12.595961473863",0,,0,""
000000007584,"","Vanløse St. (Vanløse Allé)",,"55.687926865636","12.490717615468",0,,0,""
000000007585,"","C.F. Richs Vej (Bernhard Bangs Allé)",,"55.686425427362","12.506786388490",0,,0,""
000000007586,"","Ålekistevej, Sløjfen",,"55.691552954039","12.480821584493",0,,0,""
000000007592,"","Krageskovbakken (Ringstedvej)",,"55.458951501635","12.145292327970",0,,0,""
000000007593,"","Østergård (Ringstedvej)",,"55.461457410520","12.131725791578",0,,0,""
000000007594,"","Lellinge Kirke (Ringstedvej)",,"55.466760368087","12.110291877902",0,,0,""
000000007595,"","Lundegårdsvej (Ringstedvej)",,"55.450481799678","11.981308856726",0,,0,""
000000007596,"","Skovbo Efterskole (Ringstedvej)",,"55.449459146601","11.971614623900",0,,0,""
000000007597,"","Slimminge, Slimmingevej (Ringstedvej)",,"55.448537927625","11.959555969620",0,,0,""
000000007598,"","Slimminge, Egelundsvej (Ringstedvej)",,"55.447402600598","11.953713677297",0,,0,""
000000007599,"","Slimminge, Egelundsvej (Ringstedvej)",,"55.447273509494","11.953102997779",0,,0,""
000000007601,"","Elmevej (Hovedgaden)",,"55.756786342083","11.958276409993",0,,0,""
000000007605,"","Skibbyhøj (Hovedgaden)",,"55.746839249571","11.955849630388",0,,0,""
000000007606,"","Krabbesholm (Elverdamsvej)",,"55.727906109946","11.943537742070",0,,0,""
000000007608,"","Biltris (Biltrisgade)",,"55.722628051318","11.929681459547",0,,0,""
000000007609,"","Kirke Hyllinge (Bygaden)",,"55.706899054732","11.900418521444",0,,0,""
000000007610,"","Kornbakken (Kirkevej)",,"55.703607378237","11.891339054135",0,,0,""
000000007612,"","Sydmarksvej (Elverdamsvej)",,"55.696795244015","11.875571468514",0,,0,""
000000007613,"","Ejby, Buen (Elverdamsvej)",,"55.689083600637","11.856656539799",0,,0,""
000000007614,"","Knudsvej (Elverdamsvej)",,"55.687028125986","11.851112132963",0,,0,""
000000007615,"","Ejby, Bramsnæsvigskolen (Elverdamsvej)",,"55.684704419972","11.847044541626",0,,0,""
000000007616,"","Langtvedkrydset (Elverdamsvej)",,"55.671451006550","11.829300099010",0,,0,""
000000007617,"","Englerup (Elverdamsvej)",,"55.656179876209","11.817894533893",0,,0,""
000000007618,"","Vintre Mølle (Ordrupvej)",,"55.649395725405","11.809935232455",0,,0,""
000000007619,"","Møllegårdsvej (Ordrupvej)",,"55.650127727400","11.814470815626",0,,0,""
000000007620,"","Skolevang (Englerupvej)",,"55.651051558716","11.821993297793",0,,0,""
000000007621,"","Kirke Sonnerup,Ved Kirken (Englerupvej)",,"55.650511117995","11.826723748034",0,,0,""
000000007622,"","Dyvelslyst",,"55.638497229500","11.832739613075",0,,0,""
000000007623,"","Vester Såby (Blakledsvej)",,"55.629751933738","11.836175951038",0,,0,""
000000007624,"","Liljevej (Blakledsvej)",,"55.624242072206","11.840416850791",0,,0,""
000000007625,"","Liljevej (Blakledsvej)",,"55.624351603117","11.840345341268",0,,0,""
000000007626,"","Vester Såby (Dyvelslystvej)",,"55.630757274589","11.835851371020",0,,0,""
000000007627,"","Dyvelslyst, Hvalsøvej (Hvalsøvej)",,"55.641084093009","11.832052265023",0,,0,""
000000007628,"","Kirke Sonnerup,Ved Kirken (Englerupvej)",,"55.650514238679","11.826978338423",0,,0,""
000000007629,"","Skolevang (Ordrupvej)",,"55.651026251544","11.821530433745",0,,0,""
000000007630,"","Møllegårdsvej (Ordrupvej)",,"55.650111599457","11.814390169910",0,,0,""
000000007632,"","Englerup (Elverdamsvej)",,"55.656880185432","11.819105603182",0,,0,""
000000007633,"","Langtvedkrydset (Elverdamsvej)",,"55.672438010494","11.830548478618",0,,0,""
000000007634,"","Ejby, Bramsnæsvigskolen (Elverdamsvej)",,"55.684315687647","11.846363900480",0,,0,""
000000007635,"","Knudsvej (Elverdamsvej)",,"55.687189407491","11.851521698432",0,,0,""
000000007636,"","Ejby, Buen (Elverdamsvej)",,"55.689143091164","11.856804103593",0,,0,""
000000007637,"","Sydmarksvej (Elverdamsvej)",,"55.696882005684","11.875705178234",0,,0,""
000000007639,"","Kornbakken (Kirkevej)",,"55.703631678924","11.891452288031",0,,0,""
000000007640,"","Kirke Hyllinge (Bygaden)",,"55.707258384637","11.900429238693",0,,0,""
000000007642,"","Biltris (Biltrisgade)",,"55.722415341211","11.929554028774",0,,0,""
000000007644,"","Krabbesholm (Elverdamsvej)",,"55.728833272027","11.944611164960",0,,0,""
000000007645,"","Skibbyhøj (Hovedgaden)",,"55.746916945854","11.955983011276",0,,0,""
000000007649,"","Elmevej (Hovedgaden)",,"55.756804288723","11.958277769569",0,,0,""
000000007650,"","Vink - Røde Smedie (Krabbesholmvej)",,"55.728179734286","11.944498217012",0,,0,""
000000007651,"","Vink - Krabbesholm (Krabbesholmvej)",,"55.728036555069","11.950461178798",0,,0,""
000000007652,"","Gershøjgårdsvej (Krabbesholmvej)",,"55.720228741100","11.974494997197",0,,0,""
000000007653,"","Gershøj, Ved Kirken (Gershøjvej)",,"55.717617133399","11.976908200075",0,,0,""
